Start_Date,End_Date,Elec,Fuel
30-Jun-14,31-Jul-14,98800,273426000
31-Jul-14,31-Aug-14,83200,257904000
31-Aug-14,30-Sep-14,81200,260292000
30-Sep-14,31-Oct-14,69600,360588000
31-Oct-14,30-Nov-14,54800,2931270000
30-Nov-14,31-Dec-14,61600,5167632000
31-Dec-14,31-Jan-15,51600,6693564000
31-Jan-15,28-Feb-15,55200,7881594000
28-Feb-15,31-Mar-15,64400,5470908000
31-Mar-15,30-Apr-15,60800,4046466000
30-Apr-15,31-May-15,71200,263874000
31-May-15,30-Jun-15,80400,232830000
30-Jun-15,31-Jul-15,96800,239994000
31-Jul-15,31-Aug-15,96000,214920000
31-Aug-15,30-Sep-15,82000,228054000
30-Sep-15,31-Oct-15,66800,524166000
31-Oct-15,30-Nov-15,55200,2028606000
30-Nov-15,31-Dec-15,61200,2791572000
31-Dec-15,31-Jan-16,52400,6217158000
31-Jan-16,29-Feb-16,51600,5857764000
29-Feb-16,31-Mar-16,49200,2965896000
31-Mar-16,30-Apr-16,49200,1905624000
30-Apr-16,31-May-16,47600,876396000
31-May-16,30-Jun-16,64400,260292000
